FromTime,ToTime,ArcID,Speed,Flow,Density
7:55,8:00,4855,10.89303483,111.6666667,34.17066301
8:00,8:05,4855,12.21527778,93.33333333,25.46901649
8:05,8:10,4855,18.22535991,100.3333333,18.35049876
8:10,8:15,4855,15.0812369,106,23.42867072
8:15,8:20,4855,18.21504884,121.3333333,22.20386275
8:20,8:25,4855,16.68081621,124.3333333,24.84557346
8:25,8:30,4855,12.56770833,106.6666667,28.29120044
8:30,8:35,4855,19.40529456,99.33333333,17.06292631
8:35,8:40,4855,17.76653821,115.3333333,21.63868052
8:40,8:45,4855,18.43142968,95.33333333,17.24108131
8:45,8:50,4855,19.69614922,92.33333333,15.62629194
8:50,8:55,4855,18.8897792,104,18.35207617
8:55,9:00,4855,19.22570654,95.66666667,16.5865888
9:00,9:05,4855,18.23628692,131.6666667,24.06679007
9:05,9:10,4855,18.21666667,116.6666667,21.34797194
9:10,9:15,4855,16.1227422,135.3333333,27.97980055
9:15,9:20,4855,12.64314059,130.6666667,34.44994956
9:20,9:25,4855,14.83078766,123.6666667,27.79503231
9:25,9:30,4855,16.81936322,114,22.59300753
9:30,9:35,4855,18.54166667,108,19.41573034
9:35,9:40,4855,17.64662757,113.6666667,21.47089507
9:40,9:45,4855,15.3239367,112.3333333,24.43526438
9:45,9:50,4855,17.0122739,114.6666667,22.46743877
